PAYWALL SITE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Paywall= 1 None=0,API codes
aljazeera,https://www.aljazeera.com/,https://aljazeera.net/Views/Shared/shared/images/media/favicon.ico,Al Jazeera,2,1,5,5,5,19080,N,2,QAT,0,0,WA
alternet,https://www.alternet.org/,https://www.alternet.org/favicon.ico,AlterNet,1,1,2,2,2,1140,N,2,USA,1,0,WB
americanconservative,https://www.theamericanconservative.com/,https://2qkhyt1u78lw1ll02a1kxrzq-wpengine.netdna-ssl.com/wp-content/themes/dod/src/static/images/favicon/touch-icon-114.png,American Conservative,4,1,3,4,4,22055,E,2,USA,2,0,WC
americanspectator,http://spectator.org,https://149366087.v2.pressablecdn.com/wp-content/uploads/2019/03/cropped-favicon-150x150.png,American Spectator,5,5,5,4,4,21919,N,2,USA,3,1,WD
americanthinker,https://www.americanthinker.com/,https://www.americanthinker.com/favicon.ico,American Thinker,5,5,3,3,3,19675,N,2,USA,4,0,WE
antiwar,http://antiwar.com/#spider,https://www.antiwar.com/images/favicons/apple-touch-icon.png?v=5ABYOaRGEk,AntiWar,5,1,5,3,4,6311,P,2,USA,5,0,WF
ap,https://apnews.com/,https://apnews.com/branding/favicon/24.png,Associated Press,3,5,4,4,4,106145,E,2,USA,6,0,WG
bbc,https://www.bbc.com/news,https://static.bbci.co.uk/wwhp/1.143.0/responsive/img/apple-touch/apple-touch-180.jpg,BBC News,3,5,4,4,4,305176,E,2,GBR,7,0,WH
bloomberg,https://www.bloomberg.com/,https://assets.bwbx.io/s3/javelin/public/hub/images/apple-touch-icon-57x57-b572ef8093.png,Bloomberg,3,5,5,5,5,1713,E,2,USA,8,1,WI
breitbart,http://www.breitbart.com,http://www.breitbart.com/favicon.ico,Breitbart,5,3,2,1,2,19334,E,2,USA,9,0,WJ
businessinsider,http://businessinsider.com,https://www.businessinsider.com/public/assets/BI/US/favicons/favicon.ico,Business Insider,3,4,4,4,4,4441,N,2,USA,10,0,WK
buzzfeed,https://www.buzzfeed.com,https://www.buzzfeed.com/static-assets/img/favicon.5a0c77a8815cfcc67c710199054a55c6.ico,Buzzfeed,1,5,4,4,4,6218,E,2,USA,11,0,WL
canary,https://www.thecanary.co/,https://www.thecanary.co/wp-content/themes/canary-2018/dist/images/the-canary-icon.svg,Canary,1,1,5,3,4,303643,N,2,USA,12,0,WM
cbs,https://www.cbsnews.com,https://www.cbsnews.com/fly/bundles/cbsnewscore/icons/icon-192x192.png?v=1.3e87916efdc126839b81f730c95898f667846af0,CBS,2,5,5,4,4,1752,P,2,USA,13,0,WN
cnbc,https://www.cnbc.com/,https://www.cnbc.com/favicon.ico,CNBC,3,5,5,5,4,1755,N,2,USA,14,0,WO
cnn,http://cnn.com,https://www.cnn.com/favicon.ie9.ico,CNN,2,5,2,2,2,1095,P,2,USA,15,0,WP
commondreams,http://www.commondreams.org/,https://www.commondreams.org/favicon.ico,Common Dreams,1,1,3,3,3,1133,N,2,USA,16,0,WQ
consortium,https://consortiumnews.com/,https://consortiumnews.com/wp-content/uploads/2018/09/ConsortiumNewsLogo4.jpg,Consortium News,3,1,4,4,4,197,E,2,USA,17,0,WR
conversation,https://theconversation.com,https://cdn.theconversation.com/static/tc/@theconversation/ui/dist/logos/favicon-ae7bd7a3096e6cda828b4576fa9b32c6.ico,The Conversation,2,3,5,5,5,54346,N,2,USA,18,0,WS
counterpunch,http://counterpunch.org/,https://www.counterpunch.org/favicon.ico,CounterPunch,1,1,3,4,4,23464,E,2,USA,19,0,WT
dailycaller,http://dailycaller.com,https://dailycaller.com/favicon.ico,Daily Caller,5,4,4,3,3,18775,E,2,USA,20,0,WU
dailykos,http://www.dailykos.com,https://www.dailykos.com/favicon.ico,Daily Kos,1,1,3,2,2,115,E,2,USA,21,0,WV
defenseone,https://www.defenseone.com/,https://www.defenseone.com/favicon.ico,Defense One,3,5,4,5,5,69881,N,2,USA,22,0,WW
democracynow,https://www.democracynow.org/,https://www.democracynow.org/favicon.ico,Democracy Now,1,1,5,3,4,1721,N,2,USA,23,0,WX
economist,https://www.economist.com/,http://www.economist.com/assets/favicon.ico,Economist,2,5,5,5,5,1106,E,2,GBR,24,1,WY
eff,https://www.eff.org/,https://www.eff.org/favicon.ico,Electronic Frontier Foundation,3,1,5,4,5,18367,N,2,USA,25,0,WZ
fivethirtyeight,https://fivethirtyeight.com/,https://fivethirtyeight.com/wp-content/themes/espn-fivethirtyeight/assets/images/favicon.ico?v=1.0.23,FiveThirtyEight,3,4,5,4,4,5915,E,2,USA,26,0,XA
forbes,https://www.forbes.com/,https://i.forbesimg.com/media/assets/appicons/forbes-app-icon_57x57.png,Forbes,3,5,5,4,4,1104,N,2,USA,27,1,XB
foreignaffairs,https://www.foreignaffairs.com/,https://www.foreignaffairs.com/themes/fa/favicon.ico,Foreign Affairs,3,5,5,4,4,69848,N,2,USA,28,1,XC
fox,http://www.foxnews.com/,https://static.foxnews.com/static/orion/styles/img/fox-news/favicons/apple-touch-icon-57x57.png,FOX News,4,4,5,5,4,1092,N,2,USA,29,0,XD
globalresearch,https://www.globalresearch.ca/,https://www.globalresearch.ca/wp-content/uploads/2017/04/favicon.png,Global Research,3,1,4,4,4,19195,N,2,CAN,30,0,XE
grayzone,https://thegrayzone.com/,https://i2.wp.com/thegrayzone.com/wp-content/uploads/2019/03/cropped-grayzone-icon-512.png?fit=32%2C32&ssl=1,Grayzone,1,1,5,5,5,0,E,2,USA,31,0,XF
guardian,https://www.theguardian.com,https://www.theguardian.com/favicon.ico,Guardian,2,5,4,5,4,1751,E,2,GBR,32,0,XG
huffingtonpost,https://www.huffpost.com,https://cambria.assets.huffpost.com/favicon.ico,Huffington Post,1,4,4,4,4,314,E,2,USA,33,0,XH
independent,https://www.independent.co.uk/us,https://www.independent.co.uk/img/shortcut-icons/icon-72x72.png,Independent,2,3,4,3,2,23132,E,2,GBR,34,0,XI
infowars,http://www.infowars.com,https://www.infowars.com/favicon.ico,InfoWars,5,1,1,1,1,18515,E,2,USA,35,0,XJ
intercept,https://theintercept.com/,https://theintercept.com/favicon.ico,Intercept,1,1,1,4,3,269138,E,2,USA,36,0,XK
jacobinmag,http://jacobinmag.com,https://jacobinmag.com/static/img/logo/logo-type.png,Jacobin,1,1,4,4,4,26811,E,2,USA,37,0,XL
koreaherald,http://www.koreaherald.com/,http://www.koreaherald.com/favicon.ico,Korea Herald,3,3,5,4,4,18970,N,2,KOR,38,0,XM
lewrockwell,https://www.lewrockwell.com/,https://www.lewrockwell.com/favicon.ico,Lew Rockwell,5,1,2,2,2,28661,E,2,USA,39,0,XN
mintpress,http://mintpressnews.com/,https://www.mintpressnews.com/wp-content/uploads/2018/02/cropped-MPN-Logo-32x32.jpg,MintPress News,1,1,5,4,4,107659,E,2,USA,40,0,XO
motherjones,http://www.motherjones.com/,https://www.motherjones.com/wp-content/uploads/2017/09/cropped-favicon-512x512.png?w=32,Mother Jones,1,1,5,3,4,208,N,2,USA,41,0,XP
nationalreview,http://www.nationalreview.com/,https://www.nationalreview.com/wp-content/themes/national-review/static/images/favicons/favicon-96x96.png,National Review,5,5,5,4,4,1117,E,2,USA,42,1,XQ
nbc,https://www.nbcnews.com/,https://nodeassets.nbcnews.com/cdnassets/projects/ramen/favicon/nbcnews/all-other-sizes-PNG.ico/apple-icon-120x120.png,NBC,2,4,4,4,4,25499,E,2,USA,43,0,XR
neweasternoutlook,https://journal-neo.org/,https://journal-neo.org/favicon.ico,New Eastern Outlook,5,1,1,2,2,109794,E,2,RUS,44,0,XS
newsbud,https://www.newsbud.com/,https://www.newsbud.com/favicon.ico,Newsbud,3,1,3,3,3,354235,N,2,USA,45,0,XT
npr,https://www.npr.org/,https://media.npr.org/templates/favicon/favicon-96x96.png,NPR Online News,3,5,5,4,4,1096,N,2,USA,46,0,XU
nypost,https://nypost.com/,https://secure.gravatar.com/blavatar/0b14d9dbf0c711522a906102b60f3da0?s=16,New York Post,5,5,5,3,3,7,N,2,USA,47,0,XV
nytimes,https://www.nytimes.com,https://www.nytimes.com/vi-assets/static-assets/apple-touch-icon-319373aaf4524d94d38aa599c56b8655.png,New York Times,2,5,5,5,5,1,E,2,USA,48,1,XW
observerny,https://observer.com/,https://observer.com/wp-content/themes/newyorkobserver-2014/images/favicons/apple-touch-icon-57x57.png,Observer (NY),3,2,5,2,2,21091,E,2,USA,49,0,XX
offguardian,https://off-guardian.org/,https://www.improvethenews.org/images/offguardian_favicon.jpg,offGuardian,1,1,5,5,5,299558,E,2,GBR,50,0,XY
peoplesdaily,http://en.people.cn/,http://en.people.cn/favicon.ico,People's Daily,1,1,4,4,4,194200,E,2,CHN,51,0,XZ
pjmedia,https://pjmedia.com/,https://pjmedia.com/favicon.ico,PJ Media,4,4,1,1,1,19082,P,2,USA,52,0,YA
propublica,https://www.propublica.org/,https://assets.propublica.org/prod/v3/images/favicon.ico,ProPublica,2,2,5,5,5,20639,E,2,USA,53,0,YB
psychologytoday,https://www.psychologytoday.com/us,https://cdn.psychologytoday.com/sites/all/themes/psychologytoday/img/touch-icons/favicon.ico,Psychology Today,3,4,5,5,5,7129,E,1,USA,54,0,YC
rawstory,http://rawstory.com,https://www.rawstory.com/favicon.ico,Raw Story,1,1,1,2,1,1127,E,2,USA,55,0,YD
reuters,https://www.reuters.com/,https://s3.reutersmedia.net/resources_v2/images/favicon/favicon.ico,Reuters,3,5,4,4,4,1089,P,2,GBR,56,0,YE
rt,https://rt.com/,https://www.rt.com/favicon.ico,RT,3,1,3,3,3,7324,E,2,RUS,57,0,YF
shadowproof,https://shadowproof.com/,https://shadowproof.com/wp-content/uploads/2015/10/sp-favicon2.ico.ico.png,Shadowproof,1,1,5,4,4,269095,E,2,USA,58,0,YG
slate,https://slate.com/,https://slate.com/favicon.ico,Slate,1,3,4,3,3,867,N,2,USA,59,0,YH
socialistalternative,https://www.socialistalternative.org/,https://www.socialistalternative.org/favicon.ico,Socialist Alternative,1,1,4,4,4,169668,E,2,USA,60,0,YI
socialistproject,https://socialistproject.ca/bullet/,https://socialistproject.ca/favicon.ico,Socialist Project,1,1,4,4,4,105464,E,2,CAN,61,0,YJ
spectator,https://www.spectator.co.uk/,https://www.spectator.co.uk/apple-touch-icon-60x60.png,Spectator (UK),5,5,5,4,4,23142,N,2,GBR,62,1,YK
strategicculture,https://www.strategic-culture.org/,https://www.strategic-culture.org/favicon.ico,Strategic Culture,5,1,3,4,4,227315,E,2,RUS,63,0,YL
time,http://time.com,https://time.com/img/favicons/favicon-32.png,Time,2,5,5,5,5,1099,E,2,USA,64,0,YM
truthdig,http://www.truthdig.com,https://www.truthdig.com/wp-content/uploads/2018/01/cropped-truthdig_td_favicon512-32x32.png,Truth Dig,1,1,4,5,5,23014,E,2,USA,65,0,YN
usatoday,https://www.usatoday.com/,https://www.usatoday.com/favicon.ico,USA Today,3,5,5,4,4,4,N,2,USA,66,0,YO
verge,https://www.theverge.com/,https://cdn.vox-cdn.com/uploads/chorus_asset/file/7395361/favicon-64x64.0.ico,Verge,2,3,3,3,3,19508,P,2,USA,67,0,YP
vice,https://www.vice.com/en_us,https://vice-web-statics-cdn.vice.com/favicons/vice/apple-touch-icon-57x57.png,Vice,1,5,5,4,3,21617,P,2,USA,68,0,YQ
vox,https://www.vox.com,https://cdn.vox-cdn.com/community_logos/52517/voxv.png,Vox,1,3,5,5,5,104828,N,2,USA,69,0,YR
wapo,https://www.washingtonpost.com/,https://s.wsj.net/img/meta/wsj_favicon-144x144.png,Washington Post,2,5,5,5,5,2,E,2,USA,70,1,YS
watchdog,https://thewatchdog.net/,,Watchdog,4,1,5,5,5,0,N,2,USA,71,0,YT
wsj,https://www.wsj.com,https://s.wsj.net/img/meta/wsj_favicon-96x96.png,Wall Street Journal,3,5,5,5,5,1150,P,2,USA,72,1,YU
dailymail,https://www.dailymail.co.uk/ushome/index.html,https://i.newzit.com/favicons/dailymail.co.uk.ico,Daily Mail,5,5,5,4,3,1747,N,2,GBR,73,0,YV
dailywire,https://www.dailywire.com/,https://www.dailywire.com/_next/static/images/favicon-27d84c05882598cca742ada74ac5753f.ico,Daily Wire,5,3,5,4,3,269352,N,2,USA,74,1,YW
freebeacon,http://freebeacon.com,http://freebeacon.com/favicon.ico,Washington Free Beacon,5,3,5,4,3,25649,N,2,USA,75,0,YX
townhall,http://townhall.com,https://townhall.com/favicon.ico,Townhall,5,3,5,4,4,759,N,2,USA,76,0,YY
veteranstoday,https://www.veteranstoday.com/,https://www.veteranstoday.com/wp-content/uploads/2017/08/cropped-ww1-d-167-dead-1-32x32.jpg,Veterans Today,5,1,1,1,1,57137,N,2,USA,77,0,YZ
oneamerica,http://oann.com/,https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/favicon.jpg,One America,5,3,5,4,4,127733,N,2,USA,78,0,ZA
voltairenetwork,https://www.voltairenet.org/en,https://www.voltairenet.org/squelettes/elements/images/favicon.ico,Voltaire Network,3,1,5,5,5,50861,N,2,LBN,79,0,ZB
metaculus,https://www.metaculus.com/,https://d3s0w6fek99l5b.cloudfront.net/static/icon192.5eaccecf6428.png,Metaculus,5,5,3,3,3,0,E,2,USA,80,0,ZC
msnbc,http://www.msnbc.com,http://www.msnbc.com/favicon.ico,MSNBC,1,5,5,5,4,73384,N,2,USA,81,0,ZD
newsweek,https://www.newsweek.com/,https://g.newsweek.com/themes/newsweek/favicons/favicon-32x32.png,Newsweek,1,5,5,5,5,1098,N,2,USA,82,1,ZE
federalist,http://thefederalist.com/,https://thefederalist.com/wp-content/uploads/2016/08/cropped-fdrlst-eagle-32x32.png,Federalist,5,5,3,2,4,98786,E,2,USA,83,0,ZF
redstate,http://www.redstate.com,https://www.redstate.com/favicon.ico,Red State,5,4,2,1,2,128,E,2,USA,84,0,ZG
axios,https://www.axios.com/,https://static.axios.com/img/axios-site/favicon-16x16.png,Axios,3,5,5,5,5,372870,N,1,USA,85,0,ZH
scientificamerican,https://www.scientificamerican.com/,https://www.scientificamerican.com/public/resources/favicons/favicon-196-f10395ba7ecf07756e4b5a82c4795b61.png,Scientific American,3,3,5,5,5,20263,N,1,USA,86,1,ZI
wired,https://www.wired.com/,https://www.wired.com/favicon.ico,Wired,3,4,5,5,5,4434,N,1,USA,87,1,ZJ
snopes,https://www.snopes.com/,https://www.snopes.com/tachyon/2018/06/16-SNO-001_Twitter_Profile_400x400_C.jpg,Snopes,3,4,4,5,4,4452,N,1,USA,88,0,ZK
jpost,https://www.jpost.com/,https://www.jpost.com/favicon.ico,Jerusalem Post,3,5,3,4,5,23209,N,2,ISR,89,0,ZL
factcheck,https://www.factcheck.org/,https://www.factcheck.org/favicon.ico,Factcheck,2,2,5,5,5,798,N,1,USA,90,0,ZM
atlantic,https://www.theatlantic.com,https://cdn.theatlantic.com/assets/static/a/theatlantic/img/lacroix/favicon.fb04af6390eb.ico,Atlantic,2,4,5,4,4,1110,E,2,USA,91,1,ZN
newyorker,https://www.newyorker.com/,https://www.newyorker.com/apple-touch-icon.png,New Yorker,1,5,4,4,4,1101,N,2,USA,92,1,ZO
conservativereview,http://conservativereview.com/,https://storage.googleapis.com/conservativereview/2018/01/cropped-cropped-cr_favicon_512x512-150x150.png,Conservative Review,5,3,4,4,4,207206,N,2,USA,93,0,ZP
opednews,http://www.opednews.com,https://www.opednews.com/favicon.ico,OpEdNews,1,2,3,4,4,26363,N,2,USA,94,0,ZQ
pbs,https://www.pbs.org/newshour/,https://d3i6fh83elv35t.cloudfront.net/newshour/app/themes/pbs-newshour/assets/img/ios/favicon.ico,PBS NewsHour,3,5,5,4,4,1093,N,2,USA,95,0,ZR
newscientist,https://www.newscientist.com/,https://www.newscientist.com/build/images/img/layup/new-sci-favicon.ico?ver=d77348c,New Scientist,3,3,5,5,5,5590,N,1,GBR,96,1,ZS
science,https://www.sciencemag.org/,https://www.sciencemag.org/sites/default/files/favicon.ico,Science,3,3,5,5,5,26972,N,1,USA,97,1,ZT
reveal,https://www.revealnews.org/,https://www.revealnews.org/wp-content/themes/reveal2015/static/images/favicon.ico,Reveal News,1,1,5,4,4,225568,E,2,USA,98,0,ZU
pressfreedom,https://freedom.press,https://freedom.press/static/icons/favicon.ico,Freedom Press,3,1,4,5,5,148166,N,2,GBR,99,0,ZV
techcrunch,https://techcrunch.com/,https://techcrunch.com/wp-content/uploads/2015/02/cropped-cropped-favicon-gradient.png?w=32,TechCrunch,3,3,5,5,4,4438,N,1,USA,100,0,ZW